antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.09070294784580499,0.08843537414965986,0.06575963718820861,0.725,8.198076923076922,0.05773828805898776,3.3147804576376,0.9656032332960701
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.08843537414965986,0.09070294784580499,0.06575963718820861,0.7435897435897435,8.198076923076922,0.05773828805898776,3.546258503401359,0.9632012352032938
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.08843537414965986,0.08390022675736962,0.07029478458049887,0.7948717948717949,9.474012474012474,0.06287503663596958,4.465986394557825,0.9812229176697158
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.08390022675736962,0.08843537414965986,0.07029478458049887,0.8378378378378378,9.474012474012474,0.06287503663596958,5.621315192743764,0.976365378473331
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.09070294784580499,0.08390022675736962,0.06575963718820861,0.725,8.641216216216215,0.058149639296383705,3.3312719027004736,0.9724825866368562
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.08390022675736962,0.09070294784580499,0.06575963718820861,0.7837837837837837,8.641216216216215,0.058149639296383705,4.20549886621315,0.965261181290543
frozenset({'CHILDRENS CUTLERY SPACEBOY '}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL '}),0.061224489795918366,0.06575963718820861,0.05668934240362812,0.925925925925926,14.080459770114945,0.05266324216761535,12.612244897959203,0.9895652173913044
frozenset({'CHILDRENS CUTLERY DOLLY GIRL '}),frozenset({'CHILDRENS CUTLERY SPACEBOY '}),0.06575963718820861,0.061224489795918366,0.05668934240362812,0.8620689655172415,14.080459770114945,0.05266324216761535,6.8061224489796,0.994368932038835
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.09070294784580499,0.1111111111111111,0.06349206349206349,0.7,6.3,0.05341395817586293,2.9629629629629624,0.9251870324189526
frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE '}),0.07256235827664399,0.15419501133786848,0.05215419501133787,0.71875,4.661305147058823,0.04096544135416827,3.007306626354245,0.8469225045179121
frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.12471655328798185,0.15192743764172337,0.09297052154195011,0.7454545454545455,4.906648575305292,0.07402265516939957,3.331713637836087,0.9096423606723112
frozenset({'SET6 RED SPOTTY PAPER CUPS'}),frozenset({'SET20 RED RETROSPOT PAPER NAPKINS '}),0.12244897959183673,0.11791383219954649,0.09070294784580499,0.7407407407407407,6.282051282051282,0.07626451941320746,3.4023323615160344,0.958139534883721
frozenset({'SET20 RED RETROSPOT PAPER NAPKINS '}),frozenset({'SET6 RED SPOTTY PAPER CUPS'}),0.11791383219954649,0.12244897959183673,0.09070294784580499,0.7692307692307692,6.282051282051282,0.07626451941320746,3.802721088435373,0.9532133676092545
frozenset({'SET20 RED RETROSPOT PAPER NAPKINS '}),frozenset({'SET6 RED SPOTTY PAPER PLATES'}),0.11791383219954649,0.11337868480725624,0.09070294784580499,0.7692307692307692,6.784615384615384,0.07733403263043691,3.842025699168555,0.9665809768637532
frozenset({'SET6 RED SPOTTY PAPER PLATES'}),frozenset({'SET20 RED RETROSPOT PAPER NAPKINS '}),0.11337868480725624,0.11791383219954649,0.09070294784580499,0.7999999999999999,6.784615384615384,0.07733403263043691,4.410430839002266,0.9616368286445013
frozenset({'SET6 RED SPOTTY PAPER CUPS'}),frozenset({'SET6 RED SPOTTY PAPER PLATES'}),0.12244897959183673,0.11337868480725624,0.10884353741496598,0.8888888888888888,7.839999999999999,0.09496043315285298,7.9795918367346905,0.994186046511628
frozenset({'SET6 RED SPOTTY PAPER PLATES'}),frozenset({'SET6 RED SPOTTY PAPER CUPS'}),0.11337868480725624,0.12244897959183673,0.10884353741496598,0.96,7.84,0.09496043315285298,21.93877551020406,0.9840153452685422
"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE RED '}),0.06575963718820861,0.08390022675736962,0.05668934240362812,0.8620689655172415,10.274930102516311,0.05117209393205506,6.641723356009078,0.9662135922330096
"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE RED '})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.06575963718820861,0.08843537414965986,0.05668934240362812,0.8620689655172415,9.748010610079577,0.050873864284943004,6.608843537414974,0.9605825242718447
